max_ppmm,mean_ppmm,sum_ppmm,num_plume_pixels,peak_intensity,density_category,peak_intensity_category,size_category,training_category,granule_id,gas_type,max_signal_to_uncertainty,mean_plume_sensitivity,plume_pixel_area,background_std_dev
103747.3515625,17319.42578125,25909862.0,1496,55624.67578125,uncategorized,uncategorized,uncategorized,uncategorized,20231004T052154,co2,5.565291642032394,0.7920841726369877,1496.0,12888.408080483403
63254.90625,16421.328125,39132024.0,2383,47750.21875,uncategorized,uncategorized,uncategorized,uncategorized,20240228T043557,co2,5.0744449460407095,0.9795940681210197,2383.0,11589.310681342513
92501.8984375,14062.3974609375,20643600.0,1468,57857.38671875,uncategorized,uncategorized,uncategorized,uncategorized,20231029T044355,co2,6.637307926157821,1.0691517442058802,1468.0,11238.22681510468
128084.546875,24755.990234375,15670542.0,633,103185.796875,uncategorized,uncategorized,uncategorized,uncategorized,20230626T084004,co2,14.18576502078568,1.7739443623624143,633.0,13999.058498918155
118055.546875,27089.814453125,6528645.5,241,109538.1953125,uncategorized,uncategorized,uncategorized,uncategorized,20220817T074825,co2,5.916743516360738,1.1408446353253487,241.0,20076.509371569176
43110.359375,11342.67578125,2756270.25,243,38062.4921875,uncategorized,uncategorized,uncategorized,uncategorized,20230430T055806,co2,1.9155116539195887,1.0470982220928364,243.0,7597.100782891949
38342.47265625,8495.9765625,8275081.5,974,26410.025390625,uncategorized,uncategorized,uncategorized,uncategorized,20230824T083919,co2,5.047141387655328,0.9876851114526667,974.0,5971.836396957191
50636.5703125,12185.693359375,19631152.0,1611,38197.00390625,uncategorized,uncategorized,uncategorized,uncategorized,20231010T082609,co2,,,1611.0,6349.108358095914
76382.5078125,20154.341796875,4957968.0,246,70615.8125,uncategorized,uncategorized,uncategorized,uncategorized,20220820T100937,co2,6.042133034361843,1.1255879004796345,246.0,9695.886629872302
141833.171875,20977.923828125,15712465.0,749,69643.5078125,uncategorized,uncategorized,uncategorized,uncategorized,20230404T055039,co2,8.505056051075368,0.9118842367177334,749.0,11335.94413859414
118954.1875,28364.091796875,15571886.0,549,108830.53125,uncategorized,uncategorized,uncategorized,uncategorized,20230430T055830,co2,8.477748544796547,0.8812143409621302,549.0,12178.73885742196
68290.9140625,18758.359375,5364891.0,286,66712.53125,uncategorized,uncategorized,uncategorized,uncategorized,20240622T165025,co2,5.531041344852596,1.062203226181177,286.0,12558.730332408286
66840.1796875,15625.75,24610556.0,1575,49794.90625,uncategorized,uncategorized,uncategorized,uncategorized,20230124T124550,co2,4.730693184718987,1.1792005645093464,1575.0,12763.795608131566
50692.19921875,11120.5400390625,11398554.0,1025,29361.83203125,uncategorized,uncategorized,uncategorized,uncategorized,20231003T074203,co2,6.756688311299508,1.0293842492452483,1025.0,5950.215110805844
113835.265625,12860.533203125,137774896.0,10713,43380.4921875,uncategorized,uncategorized,uncategorized,uncategorized,20230730T104800,co2,2.0944706216796947,0.6795234750229049,10713.0,8747.890155008266
56554.06640625,16120.361328125,7995699.0,496,50120.92578125,uncategorized,uncategorized,uncategorized,uncategorized,20230730T104800,co2,3.5419944632301172,0.4792027132465474,496.0,8589.881640691738
126673.2265625,26726.20703125,41024728.0,1535,98669.6875,uncategorized,uncategorized,uncategorized,uncategorized,20220822T035125,co2,8.060010686895508,1.0994021673738374,1535.0,14247.655377865181
101103.78125,23275.705078125,105625152.0,4538,69606.3046875,uncategorized,uncategorized,uncategorized,uncategorized,20231222T035037,co2,6.020258287240978,1.1601417088998525,4538.0,19462.02626648806
128693.6484375,23882.3671875,151963504.0,6363,77643.4453125,uncategorized,uncategorized,uncategorized,uncategorized,20231222T035037,co2,7.734107677467623,1.295660823974691,6363.0,20510.797301540828
81316.921875,17854.2890625,10569739.0,592,57420.3125,uncategorized,uncategorized,uncategorized,uncategorized,20240226T074342,co2,6.808634813107152,0.7540598750064099,592.0,9938.842610016118
99124.8828125,15320.6279296875,93118776.0,6078,48037.50390625,uncategorized,uncategorized,uncategorized,uncategorized,20231026T022121,co2,6.6308709136370245,0.7786345249038851,6078.0,12765.951172012492
