max_ppmm,mean_ppmm,sum_ppmm,num_plume_pixels,peak_intensity,granule_id,cat_density,cat_peak_intensity,cat_size
12927.422,745.8845,821218.9,1101,4323.996,20230403T081219,strong,bright,large
7905.2275,655.3295,431862.16,659,3397.006,20230429T050835,strong,bright,medium
7558.49,556.57355,1385311.5,2489,2104.6978,20230802T113411,strong,bright,large
7426.7856,566.9691,3188067.2,5623,2625.6577,20230421T082638,strong,bright,large
6312.4062,792.2474,672618.0,849,4324.3306,20230218T085703,strong,bright,medium
5870.775,372.1611,131745.03,354,2063.1313,20230219T080527,medium,bright,medium
5265.6606,780.5139,241178.8,309,3843.9004,20230629T013453,strong,bright,medium
5144.9497,263.02762,4850229.5,18440,969.0597,20230223T063022,faint,medium,large
4921.7944,739.09814,90909.07,123,4664.9053,20230629T013453,strong,bright,small
4792.173,291.27795,985102.0,3382,1207.23,20230220T103220,faint,medium,large
4614.9683,331.01288,103276.016,312,1791.182,20230220T103220,medium,medium,medium
4418.6743,885.3871,258533.03,292,3723.7546,20230603T080327,strong,bright,medium
4362.473,496.78412,535036.5,1077,1673.6963,20230608T162346,medium,medium,large
4283.5825,356.77502,217989.53,611,1543.5012,20230424T182545,medium,medium,medium
4064.1797,785.0962,401969.25,512,3084.4624,20230206T162514,strong,bright,medium
3984.3657,539.10974,3471327.5,6439,2092.728,20230608T162346,strong,bright,large
3725.7935,567.80743,253809.92,447,2314.6729,20230608T162346,strong,bright,medium
3702.817,499.26028,916641.9,1836,1811.4719,20230418T060625,medium,bright,large
3666.111,172.08069,2893192.5,16813,563.7505,20230223T063033,faint,dim,large
3564.6604,162.44176,4993459.5,30740,576.0678,20230607T062333,faint,dim,large
3454.181,194.03615,1610694.1,8301,851.97504,20230219T080503,faint,dim,large
3449.5068,563.13086,237641.22,422,2250.7007,20230726T105454,strong,bright,medium
3382.6677,288.44653,1635780.2,5671,926.2198,20230604T070641,faint,medium,large
3308.076,933.58435,73753.164,79,3152.5103,20230608T162346,strong,bright,small
3259.5093,581.0575,385822.2,664,2552.925,20230629T013453,strong,bright,medium
3175.5022,412.47955,1643318.5,3984,1311.9116,20230629T013453,medium,medium,large
3092.7952,693.2316,765327.75,1104,2483.658,20230201T075326,strong,bright,large
3046.729,304.1012,2158814.5,7099,964.44824,20230218T085739,medium,medium,large
3033.617,291.41104,83926.38,288,1397.9934,20230418T091216,faint,medium,medium
3030.4055,199.82954,1015533.75,5082,685.20245,20230224T085831,faint,dim,large
2992.4272,792.06726,186135.81,235,2544.6135,20230311T125954,strong,bright,small
2904.7542,120.97037,9004671.0,74437,368.39523,20230607T062333,faint,dim,large
2866.944,328.71143,502928.5,1530,1301.4812,20230804T082559,medium,medium,large
2856.2905,325.85706,74295.41,228,2230.2915,20230729T100630,medium,bright,small
2846.9468,570.89703,6939824.0,12156,1844.4755,20230502T042234,strong,bright,large
2822.483,634.42316,206187.53,325,2652.8342,20230131T053924,strong,bright,medium
2781.5984,435.88553,37050.27,85,1339.2245,20230814T101129,medium,medium,small
2777.2998,396.39526,726592.5,1833,1740.613,20230418T060625,medium,medium,large
2721.5684,200.79472,904781.0,4506,976.4814,20230607T062333,faint,medium,large
2718.469,339.3817,189375.0,558,1335.2732,20230223T045720,medium,medium,medium
2638.1006,797.3754,61397.906,77,2454.4253,20230416T213735,strong,bright,small
2620.704,278.89136,369252.16,1324,1284.9191,20230607T062333,faint,medium,large
2578.4714,422.92105,1141041.0,2698,1610.548,20230630T070649,medium,medium,large
2514.9475,396.58823,266507.28,672,1403.1295,20230131T054317,medium,medium,medium
2465.6846,184.46956,700430.94,3797,867.49536,20230607T062333,faint,dim,large
2456.0925,827.47485,71162.836,86,2270.3745,20230324T094919,strong,bright,small
2446.9727,343.4303,73494.086,214,1970.6682,20230418T091117,medium,bright,small
2443.0833,119.151146,2191904.5,18396,378.0938,20230607T062333,faint,dim,large
2436.9497,452.7035,87371.77,193,1618.247,20230625T075248,medium,medium,small
2427.9019,542.3842,77018.555,142,2080.932,20230418T060625,strong,bright,small
2408.39,162.92566,1909814.5,11722,607.80084,20230607T062333,faint,dim,large
2400.913,165.75679,1234888.1,7450,722.6053,20230607T062333,faint,dim,large
2395.9119,581.96375,145490.94,250,1812.0718,20230221T063001,strong,bright,small
2363.1663,387.00162,483752.03,1250,1174.363,20230603T075914,medium,medium,large
2328.3303,602.38293,500580.22,831,1733.141,20230331T194937,strong,medium,medium
2320.4001,358.64047,68141.69,190,2212.6528,20230219T080527,medium,bright,small
2295.8013,281.40424,100179.91,356,1577.7361,20230224T085831,faint,medium,medium
2256.8557,136.09695,422717.16,3106,514.50226,20230607T062333,faint,dim,large
2247.1165,494.94174,5263705.5,10635,1423.3633,20230502T042234,medium,medium,large
2216.7715,465.5501,2367322.2,5085,1416.7009,20230403T081219,medium,medium,large
2140.0745,400.3834,250239.62,625,1629.9021,20230223T063057,medium,medium,medium
2094.854,378.93924,985242.0,2600,1149.6438,20230804T113111,medium,medium,large
2081.592,256.32706,170201.16,664,1586.4137,20230425T064628,faint,medium,medium
2079.9978,592.0189,81698.61,138,1937.4419,20230326T112521,strong,bright,small
2069.804,411.85992,392914.38,954,1318.0931,20230629T061416,medium,medium,medium
2046.1554,520.7246,126015.36,242,1447.9629,20230418T060625,strong,medium,small
2044.8641,419.3852,109040.15,260,1546.3593,20230418T060625,medium,medium,medium
2002.3259,542.8635,85772.44,158,1611.7911,20230129T130333,strong,medium,small
1999.3492,396.58475,93594.0,236,1377.1523,20230731T130706,medium,medium,small
1995.31,451.40237,3902825.0,8646,1493.0156,20230223T063057,medium,medium,large
1866.1959,366.6669,51333.367,140,1443.9253,20230625T075248,medium,medium,small
1803.532,349.93146,188263.12,538,1210.6151,20230418T091152,medium,medium,medium
1693.9329,392.21167,117663.5,300,1283.2952,20230729T100630,medium,medium,medium
1667.3954,442.63495,119511.44,270,1448.5885,20230628T052939,medium,medium,medium
1653.644,328.33173,44324.78,135,1407.0697,20230418T091128,medium,medium,small
1600.2891,499.59604,117405.07,235,1528.0115,20230418T060625,medium,medium,small
1592.4049,452.945,59788.742,132,1578.1079,20230608T162346,medium,medium,small
1525.1078,272.29434,69707.35,256,912.04565,20230729T100630,faint,medium,medium
1487.7059,210.10999,10619589.0,50543,647.4149,20230809T043025,faint,dim,large
1473.6461,739.34064,17744.176,24,1473.6461,20230814T101129,strong,medium,small
1441.9409,485.9928,92824.625,191,1333.6154,20230418T060625,medium,medium,small
1403.702,481.33618,102524.61,213,1245.9104,20230628T161924,medium,medium,small
1305.1908,531.4622,37733.816,71,1303.0365,20230111T130218,strong,medium,small
1302.4425,536.89685,52078.992,97,1302.4425,20230814T100720,strong,medium,small
1263.8502,222.10239,87952.55,396,1034.9154,20230802T082953,faint,medium,medium
1234.7798,274.2136,77054.02,281,948.5396,20230418T091053,faint,medium,medium
1204.9619,315.71365,47672.76,151,1019.96045,20230220T103220,medium,medium,small
1200.7048,316.23587,47435.383,150,1071.7668,20230425T064628,medium,medium,small
1192.7777,319.1879,179383.6,562,1000.4108,20230630T102358,medium,medium,medium
1184.5376,355.11285,132457.1,373,1045.5793,20230731T130804,medium,medium,medium
